GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
AntiPatternTesting,at.saap.antipatterntesting.cleancode.model.output,OrderCalculationResult,21,45,0,0,1,13,1,13,1,13
AntiPatternTesting,at.saap.antipatterntesting.cleancode,OrderServiceImpl,6,103,3,15,1,17,3,15,0,9
AntiPatternTesting,at.saap.antipatterntesting.config,ApplicationConfig,0,32,0,0,0,9,0,3,0,3
AntiPatternTesting,at.saap.antipatterntesting.antipattern,SuperOrderService,14,83,8,16,5,16,8,8,0,4
AntiPatternTesting,at.saap.antipatterntesting.antipattern,SuperOrder,57,15,0,0,1,5,1,1,1,1
AntiPatternTesting,at.saap.antipatterntesting.antipattern,CalculateGrossOrder,3,72,0,2,1,15,1,2,1,1
AntiPatternTesting,at.saap.antipatterntesting.antipattern,SuperItem,33,15,0,0,1,5,1,1,1,1
AntiPatternTesting,at.saap.antipatterntesting.antipattern,CalculateNetOrder,3,74,0,2,1,15,1,2,1,1
AntiPatternTesting,at.saap.antipatterntesting.cleancode.model,CalculationTypeEnum,0,15,0,0,0,3,0,1,0,1
AntiPatternTesting,at.saap.antipatterntesting.cleancode.model,Price.PriceBuilder,12,42,0,0,0,1,1,7,1,7
AntiPatternTesting,at.saap.antipatterntesting.cleancode.model,Order,12,48,0,0,3,10,3,10,3,10
AntiPatternTesting,at.saap.antipatterntesting.cleancode.model,Item,14,16,0,0,4,3,4,3,4,3
AntiPatternTesting,at.saap.antipatterntesting.cleancode.model,Price,0,60,0,0,0,13,0,13,0,13
AntiPatternTesting,at.saap.antipatterntesting.cleancode.model,Order.OrderBuilder,12,42,0,0,0,1,1,7,1,7
AntiPatternTesting,at.saap.antipatterntesting.cleancode.model,DeliveryAddress.DeliveryAddressBuilder,10,35,0,0,0,1,1,6,1,6
AntiPatternTesting,at.saap.antipatterntesting.cleancode.model,DeliveryAddress,31,19,0,0,9,2,9,2,9,2
AntiPatternTesting,at.saap.antipatterntesting.cleancode.model,Item.ItemBuilder,6,21,0,0,0,1,1,4,1,4
AntiPatternTesting,at.saap.antipatterntesting.cleancode.util,OrderCalculationUtils,0,89,0,4,0,16,0,6,0,4
AntiPatternTesting,at.saap.antipatterntesting.cleancode.util,BigDecimalUtils,0,14,0,4,0,2,0,3,0,1
AntiPatternTesting,at.saap.antipatterntesting.cleancode.util,CalculationResultTransformer,0,96,0,2,0,20,0,4,0,3
AntiPatternTesting,at.saap.antipatterntesting,AntiPatternTestingApplication,5,3,0,0,2,1,1,1,1,1
